generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,browser/1/20190830-1129,74.0,37.0,54.0,1_22,1_20
2,browser/2/20190830-1129,74.0,32.0,55.84,2_20,2_19
3,browser/3/20190830-1129,74.0,40.0,61.24,3_2,3_25
4,browser/4/20190830-1129,74.0,42.0,62.88,4_10,4_25
5,browser/5/20190830-1129,74.0,42.0,65.36,5_10,5_25
