cid,identity,score
1_2,(none),74.0
3_2,2_13~CUW~2_7#MUR,40.0
3_3,2_7~CUW~1_2#MUR,42.0
3_4,2_7~CUW~2_13#MGNF,74.0
3_5,2_7~CUW~1_2#MGNP,74.0
3_6,2_7~CUW~2_13,74.0
3_7,2_7~CUW~2_13,73.0
3_8,2_10~CUW~2_19#MGNP,45.0
3_9,2_10~CUW~1_2#MGNF,40.0
3_10,2_10~CUW~2_7#MGNF,45.0
3_11,2_7~CUW~2_13#MGNF,74.0
3_12,2_10~CUW~2_7#MGNF,44.0
3_13,2_19~CUW~2_10#MUR,74.0
3_14,2_7~CUW~2_10#MGNF,74.0
3_15,2_10~CUW~1_2#MGNF,61.0
3_16,2_10~CUW~1_2,74.0
3_17,1_2~CUW~2_19,42.0
3_18,2_7~CUW~2_13#MGNP,66.0
3_19,2_13~CUW~2_10,65.0
3_20,2_10~CUW~2_19#MGNP,74.0
3_21,2_10~CUW~2_7#MUR,50.0
3_22,2_10~CUW~2_13#MUR,44.0
3_23,2_19~CUW~2_10#MGNF,72.0
3_24,2_13~CUW~2_19#MGNP,62.0
3_25,2_10~CUW~2_19,74.0
