cid,identity,score
1_2,(none),74.0
5_2,4_17~CUW~4_12#MUR,74.0
5_3,1_2~CUW~4_8#MGNF,46.0
5_4,4_14~CUW~4_17#MUR,54.0
5_5,1_2~CUW~4_8,74.0
5_6,4_14~CUW~4_12#MGNP,74.0
5_7,4_8~CUW~4_12#MGNP,70.0
5_8,4_8~CUW~4_12#MGNP,74.0
5_9,4_14~CUW~4_12#MGNP,74.0
5_10,1_2~CUW~4_17#MGNP,42.0
5_11,4_14~CUW~4_12#MGNF,74.0
5_12,4_14~CUW~1_2,74.0
5_13,4_17~CUW~4_14#MGNF,74.0
5_14,4_12~CUW~4_14#MGNP,45.0
5_15,4_14~CUW~4_8,74.0
5_16,1_2~CUW~4_8#MUR,43.0
5_17,4_14~CUW~4_17,74.0
5_18,1_2~CUW~4_14#MGNP,62.0
5_19,1_2~CUW~4_12,74.0
5_20,1_2~CUW~4_14,42.0
5_21,4_17~CUW~1_2,74.0
5_22,4_12~CUW~4_8#MGNF,58.0
5_23,4_12~CUW~4_14#MGNP,74.0
5_24,4_8~CUW~1_2#MUR,62.0
5_25,1_2~CUW~4_12#MGNF,74.0
