cid,identity,score
1_2,(none),74.0
4_2,1_2~CUW~3_11#MGNP,45.0
4_3,3_6~CUW~3_4#MUR,69.0
4_4,3_6~CUW~1_2,69.0
4_5,3_4~CUW~3_5#MGNF,45.0
4_6,3_6~CUW~3_4#MUR,51.0
4_7,3_6~CUW~3_4,65.0
4_8,3_11~CUW~3_6,74.0
4_9,3_5~CUW~3_4#MUR,57.0
4_10,3_5~CUW~1_2,42.0
4_11,1_2~CUW~3_5#MGNF,57.0
4_12,1_2~CUW~3_6#MGNF,74.0
4_13,3_11~CUW~3_6#MGNF,70.0
4_14,1_2~CUW~3_6#MGNP,74.0
4_15,3_5~CUW~3_11#MGNP,44.0
4_16,3_5~CUW~3_4,61.0
4_17,3_11~CUW~3_6#MGNF,74.0
4_18,3_4~CUW~3_5#MGNP,72.0
4_19,3_4~CUW~3_6,74.0
4_20,3_6~CUW~3_4,74.0
4_21,3_11~CUW~3_5,57.0
4_22,1_2~CUW~3_4#MUR,61.0
4_23,3_4~CUW~3_5#MGNP,70.0
4_24,3_11~CUW~3_6#MGNP,45.0
4_25,3_4~CUW~3_6,74.0
