cid,identity,score
2_11,1_7~CUW~1_21,33609856.0
4_2,3_10~CUW~3_17#MGNP,27842692.0
4_3,3_10~CUW~2_11#MGNF,9253963.0
4_4,3_10~CUW~2_11#MGNF,23270520.0
4_5,3_17~CUW~3_9#MUR,24330232.0
4_6,3_10~CUW~3_24#MGNF,30936982.0
4_7,3_24~CUW~2_11#MGNP,28996624.0
4_8,3_10~CUW~2_11,32774420.0
4_9,2_11~CUW~3_17,29955890.0
4_10,2_11~CUW~3_9#MGNF,23332412.0
4_11,3_17~CUW~2_11,21631492.0
4_12,2_11~CUW~3_10#MGNP,17351268.0
4_13,3_9~CUW~3_17#MUR,30157914.0
4_14,3_10~CUW~3_24#MGNF,31988774.0
4_15,3_24~CUW~2_11#MGNP,31364338.0
4_16,2_11~CUW~3_17#MUR,24475052.0
4_17,3_17~CUW~2_11,29520464.0
4_18,3_24~CUW~2_11#MGNP,30687046.0
4_19,3_17~CUW~3_9#MGNP,17047246.0
4_20,3_17~CUW~3_10#MGNF,26727766.0
4_21,2_11~CUW~3_9#MGNP,19754224.0
4_22,3_17~CUW~2_11#MUR,30163388.0
4_23,2_11~CUW~3_10#MGNP,28533608.0
4_24,3_17~CUW~3_10#MGNP,26769614.0
4_25,3_17~CUW~3_10#MGNF,30031976.0
