cid,identity,score
1_1,(none),13233660.0
1_2,(none),15005000.0
1_3,(none),16697762.0
1_4,(none),21332184.0
1_5,(none),27293088.0
1_6,(none),24519148.0
1_7,(none),28022414.0
1_8,(none),9848876.0
1_9,(none),26198788.0
1_10,(none),17684074.0
1_11,(none),9533233.0
1_12,(none),31315606.0
1_13,(none),12948124.0
1_14,(none),13254181.0
1_15,(none),18504794.0
1_16,(none),18121470.0
1_17,(none),20399282.0
1_18,(none),16612212.0
1_19,(none),17783272.0
1_20,(none),20255296.0
1_21,(none),27703786.0
1_22,(none),11320228.0
1_23,(none),17291476.0
1_24,(none),18533200.0
1_25,(none),21797220.0
