generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,esp-constraint/1/20190829-1046,31315606.0,9533233.0,19008334.96,1_11,1_12
2,esp-constraint/2/20190829-1046,33609856.0,8954786.0,20025268.76,2_10,2_11
3,esp-constraint/3/20190829-1046,33609856.0,13028835.0,23535665.56,3_12,2_11
4,esp-constraint/4/20190829-1046,33609856.0,9253963.0,26420310.44,4_3,2_11
5,esp-constraint/5/20190829-1046,35309204.0,16453155.0,27560719.8,5_13,5_6
