cid,identity,score
1_12,(none),31315606.0
2_2,1_9~CUW~1_5#MGNF,19486024.0
2_3,1_12~CUW~1_5#MGNP,17367224.0
2_4,1_7~CUW~1_5#MGNP,18444830.0
2_5,1_9~CUW~1_12#MGNF,9828532.0
2_6,1_21~CUW~1_12#MGNP,32973052.0
2_7,1_7~CUW~1_9,29274832.0
2_8,1_12~CUW~1_5,13128132.0
2_9,1_5~CUW~1_21#MGNP,22108892.0
2_10,1_21~CUW~1_5,8954786.0
2_11,1_7~CUW~1_21,33609856.0
2_12,1_7~CUW~1_21#MUR,19291704.0
2_13,1_5~CUW~1_12#MGNF,22255746.0
2_14,1_7~CUW~1_21#MUR,27849572.0
2_15,1_21~CUW~1_9,14111250.0
2_16,1_21~CUW~1_7#MGNP,22917458.0
2_17,1_7~CUW~1_5#MUR,24220228.0
2_18,1_7~CUW~1_9#MGNF,14641596.0
2_19,1_12~CUW~1_7#MUR,19644184.0
2_20,1_21~CUW~1_12#MUR,19860878.0
2_21,1_9~CUW~1_12#MGNP,19691758.0
2_22,1_5~CUW~1_21#MUR,14901059.0
2_23,1_9~CUW~1_12#MGNF,19249908.0
2_24,1_7~CUW~1_5#MGNP,13051168.0
2_25,1_5~CUW~1_9,12453444.0
