cid,identity,score
1_4,(none),21.0
2_2,1_5~CUW~1_10#MGNF,19.0
2_3,1_11~CUW~1_5#MGNF,16.0
2_4,1_13~CUW~1_10#MGNP,11.0
2_5,1_4~CUW~1_10#MUR,14.0
2_6,1_11~CUW~1_5#MGNP,14.0
2_7,1_5~CUW~1_4#MUR,18.0
2_8,1_13~CUW~1_11#MUR,20.0
2_9,1_13~CUW~1_4#MGNP,16.0
2_10,1_5~CUW~1_4#MUR,14.0
2_11,1_4~CUW~1_13,21.0
2_12,1_5~CUW~1_10#MGNP,19.0
2_13,1_4~CUW~1_11#MGNF,16.0
2_14,1_10~CUW~1_11#MUR,16.0
2_15,1_11~CUW~1_13,21.0
2_16,1_10~CUW~1_4,21.0
2_17,1_5~CUW~1_4#MUR,21.0
2_18,1_4~CUW~1_10#MGNF,21.0
2_19,1_4~CUW~1_11#MGNP,21.0
2_20,1_13~CUW~1_10,21.0
2_21,1_4~CUW~1_10#MGNP,21.0
2_22,1_13~CUW~1_4#MUR,21.0
2_23,1_5~CUW~1_13#MGNP,11.0
2_24,1_5~CUW~1_10#MUR,11.0
2_25,1_13~CUW~1_11#MGNP,11.0
