cid,identity,score
1_4,(none),21.0
4_2,3_18~CUW~1_4,21.0
4_3,3_18~CUW~3_13#MGNF,21.0
4_4,1_4~CUW~3_6#MGNP,17.0
4_5,3_18~CUW~1_4#MUR,21.0
4_6,1_4~CUW~3_9#MGNF,15.0
4_7,3_18~CUW~3_6#MGNF,21.0
4_8,1_4~CUW~3_18#MUR,18.0
4_9,3_13~CUW~3_6#MUR,21.0
4_10,1_4~CUW~3_18#MGNP,16.0
4_11,3_6~CUW~3_9#MUR,21.0
4_12,3_6~CUW~3_18#MGNF,21.0
4_13,3_18~CUW~3_6#MUR,21.0
4_14,3_13~CUW~3_9#MGNP,21.0
4_15,3_6~CUW~1_4#MUR,21.0
4_16,3_9~CUW~3_6,14.0
4_17,1_4~CUW~3_9#MGNP,21.0
4_18,3_13~CUW~3_18#MGNF,16.0
4_19,3_6~CUW~3_9#MUR,14.0
4_20,3_13~CUW~3_18#MGNP,21.0
4_21,1_4~CUW~3_18#MUR,21.0
4_22,1_4~CUW~3_9#MGNF,21.0
4_23,3_18~CUW~3_13#MGNF,21.0
4_24,1_4~CUW~3_13#MUR,11.0
4_25,3_9~CUW~3_18#MGNP,21.0
