cid,identity,score
1_4,(none),21.0
3_2,2_17~CUW~2_15,16.0
3_3,2_17~CUW~2_16#MGNF,16.0
3_4,2_11~CUW~2_17#MUR,13.0
3_5,2_17~CUW~2_15#MGNF,15.0
3_6,2_17~CUW~2_16#MGNP,21.0
3_7,2_16~CUW~2_15,16.0
3_8,2_16~CUW~2_11,14.0
3_9,2_15~CUW~1_4#MGNP,21.0
3_10,2_15~CUW~2_17#MGNP,16.0
3_11,2_17~CUW~1_4#MUR,16.0
3_12,2_16~CUW~2_17,19.0
3_13,2_15~CUW~2_11#MGNF,21.0
3_14,2_16~CUW~2_11#MUR,14.0
3_15,2_11~CUW~2_17#MGNP,16.0
3_16,2_15~CUW~2_17#MGNP,18.0
3_17,2_16~CUW~1_4#MGNF,19.0
3_18,2_15~CUW~2_16#MGNP,21.0
3_19,1_4~CUW~2_17#MGNP,16.0
3_20,2_15~CUW~1_4,16.0
3_21,2_17~CUW~2_15#MGNF,16.0
3_22,1_4~CUW~2_16#MGNF,15.0
3_23,2_11~CUW~1_4#MGNP,21.0
3_24,1_4~CUW~2_11#MGNF,11.0
3_25,2_17~CUW~1_4#MGNF,16.0
