generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,esp-constraint/1/20190829-1058,31318142.0,11200891.0,19931826.72,1_6,1_23
2,esp-constraint/2/20190829-1059,33424684.0,12569518.0,21419453.8,2_22,2_10
3,esp-constraint/3/20190829-1059,34980096.0,15731464.0,26762808.96,3_18,3_17
4,esp-constraint/4/20190829-1059,35871528.0,15222208.0,29134877.84,4_23,4_20
5,esp-constraint/5/20190829-1059,36785632.0,16492438.0,30382489.6,5_14,5_17
