cid,identity,score
1_1,(none),17013876.0
1_2,(none),15794994.0
1_3,(none),25236170.0
1_4,(none),29915752.0
1_5,(none),23897940.0
1_6,(none),11200891.0
1_7,(none),15723808.0
1_8,(none),14589652.0
1_9,(none),17468004.0
1_10,(none),22049668.0
1_11,(none),17796766.0
1_12,(none),27669524.0
1_13,(none),18209964.0
1_14,(none),23506816.0
1_15,(none),20009180.0
1_16,(none),21729152.0
1_17,(none),11571364.0
1_18,(none),18229664.0
1_19,(none),23717826.0
1_20,(none),20367104.0
1_21,(none),12646091.0
1_22,(none),15296658.0
1_23,(none),31318142.0
1_24,(none),27359340.0
1_25,(none),15977322.0
