cid,identity,score
2_10,1_24~CUW~1_23#MUR,33424684.0
3_2,2_2~CUW~2_24#MGNF,19275082.0
3_3,2_10~CUW~2_24#MGNF,20469892.0
3_4,1_23~CUW~2_10#MGNP,31293794.0
3_5,2_2~CUW~2_10#MGNP,26153252.0
3_6,1_23~CUW~2_24#MGNF,25672284.0
3_7,1_23~CUW~2_24,32884056.0
3_8,2_12~CUW~1_23,27657138.0
3_9,1_23~CUW~2_24,27160272.0
3_10,2_2~CUW~2_24#MGNP,18999004.0
3_11,2_2~CUW~2_24#MGNF,30577544.0
3_12,1_23~CUW~2_12#MUR,27151424.0
3_13,2_12~CUW~2_2#MGNP,27916470.0
3_14,2_12~CUW~2_10#MGNP,15926324.0
3_15,2_2~CUW~2_24#MGNP,25519824.0
3_16,2_24~CUW~2_12,32847692.0
3_17,2_12~CUW~2_10#MGNF,34980096.0
3_18,2_2~CUW~1_23#MUR,15731464.0
3_19,2_24~CUW~2_2#MGNP,28135228.0
3_20,2_2~CUW~2_10#MGNF,23034872.0
3_21,1_23~CUW~2_10#MGNP,27540480.0
3_22,2_24~CUW~2_12,32884056.0
3_23,2_2~CUW~2_12,30094782.0
3_24,2_24~CUW~2_10#MGNF,31170578.0
3_25,2_12~CUW~2_24#MGNP,22569932.0
