cid,identity,score
1_1,(none),21.0
2_2,1_1~CUW~1_13#MGNP,21.0
2_3,1_10~CUW~1_13#MGNF,16.0
2_4,1_13~CUW~1_7#MGNP,21.0
2_5,1_1~CUW~1_10#MUR,16.0
2_6,1_10~CUW~1_1#MUR,12.0
2_7,1_10~CUW~1_13#MGNF,13.0
2_8,1_7~CUW~1_6#MUR,19.0
2_9,1_13~CUW~1_7,18.0
2_10,1_10~CUW~1_13#MGNF,14.0
2_11,1_7~CUW~1_10#MGNP,14.0
2_12,1_1~CUW~1_6#MUR,21.0
2_13,1_1~CUW~1_13#MGNF,10.0
2_14,1_7~CUW~1_1#MGNF,11.0
2_15,1_1~CUW~1_10,21.0
2_16,1_10~CUW~1_13#MGNP,19.0
2_17,1_1~CUW~1_7#MUR,20.0
2_18,1_7~CUW~1_13#MUR,20.0
2_19,1_1~CUW~1_10#MUR,16.0
2_20,1_1~CUW~1_13,13.0
2_21,1_10~CUW~1_1#MGNF,20.0
2_22,1_7~CUW~1_1#MUR,16.0
2_23,1_6~CUW~1_13#MGNF,16.0
2_24,1_7~CUW~1_6,16.0
2_25,1_13~CUW~1_6#MUR,14.0
