cid,identity,score
3_13,2_2~CUW~1_1#MGNF,24.0
5_2,4_5~CUW~3_13#MGNP,21.0
5_3,3_13~CUW~4_3#MGNP,17.0
5_4,4_5~CUW~4_7#MUR,21.0
5_5,4_3~CUW~4_18,20.0
5_6,3_13~CUW~4_5#MGNF,19.0
5_7,4_7~CUW~3_13,21.0
5_8,4_18~CUW~4_5#MGNP,14.0
5_9,4_18~CUW~4_7#MUR,14.0
5_10,4_5~CUW~4_3,21.0
5_11,3_13~CUW~4_7#MUR,21.0
5_12,4_7~CUW~3_13#MGNF,21.0
5_13,4_18~CUW~3_13,14.0
5_14,4_18~CUW~4_7#MUR,21.0
5_15,4_18~CUW~4_3#MGNF,14.0
5_16,4_18~CUW~4_5,16.0
5_17,4_3~CUW~4_5#MGNP,21.0
5_18,3_13~CUW~4_5,21.0
5_19,4_18~CUW~3_13#MGNP,21.0
5_20,4_7~CUW~4_18#MGNP,21.0
5_21,4_5~CUW~4_7#MGNP,21.0
5_22,4_7~CUW~3_13#MGNP,21.0
5_23,4_3~CUW~4_7#MGNF,16.0
5_24,4_18~CUW~4_5#MGNP,10.0
5_25,3_13~CUW~4_18#MGNF,18.0
