cid,identity,score
3_13,2_2~CUW~1_1#MGNF,24.0
4_2,3_7~CUW~3_3#MGNP,16.0
4_3,3_13~CUW~1_1,23.0
4_4,3_2~CUW~3_13,14.0
4_5,3_13~CUW~3_3#MGNF,21.0
4_6,3_13~CUW~1_1#MGNF,14.0
4_7,1_1~CUW~3_3#MGNF,21.0
4_8,3_13~CUW~3_2#MGNF,21.0
4_9,3_3~CUW~3_13#MGNP,21.0
4_10,3_7~CUW~3_2,13.0
4_11,3_13~CUW~3_2#MUR,11.0
4_12,3_3~CUW~3_7#MUR,14.0
4_13,3_3~CUW~3_13,21.0
4_14,3_7~CUW~3_2#MGNP,21.0
4_15,3_2~CUW~3_7#MGNF,18.0
4_16,1_1~CUW~3_7#MGNP,16.0
4_17,3_2~CUW~1_1#MGNF,21.0
4_18,3_7~CUW~3_3#MUR,23.0
4_19,3_13~CUW~3_3#MGNP,16.0
4_20,3_13~CUW~3_7#MGNF,11.0
4_21,1_1~CUW~3_13#MGNP,20.0
4_22,3_13~CUW~3_2#MGNF,21.0
4_23,3_7~CUW~3_3,16.0
4_24,3_2~CUW~3_3,21.0
4_25,3_3~CUW~3_2#MGNP,21.0
