cid,identity,score
1_24,(none),23.0
2_2,1_18~CUW~1_11,23.0
2_3,1_11~CUW~1_5#MGNF,21.0
2_4,1_3~CUW~1_11#MGNP,15.0
2_5,1_11~CUW~1_5#MUR,16.0
2_6,1_24~CUW~1_3,14.0
2_7,1_11~CUW~1_3#MUR,18.0
2_8,1_18~CUW~1_24#MGNP,16.0
2_9,1_24~CUW~1_18#MGNF,17.0
2_10,1_11~CUW~1_3,14.0
2_11,1_24~CUW~1_5,21.0
2_12,1_5~CUW~1_24#MGNP,14.0
2_13,1_24~CUW~1_5#MUR,19.0
2_14,1_3~CUW~1_18#MGNP,16.0
2_15,1_5~CUW~1_3#MGNP,19.0
2_16,1_3~CUW~1_18#MGNF,14.0
2_17,1_24~CUW~1_5#MGNF,6.0
2_18,1_3~CUW~1_24#MUR,10.0
2_19,1_5~CUW~1_3#MGNP,24.0
2_20,1_3~CUW~1_18#MGNF,14.0
2_21,1_24~CUW~1_3#MGNF,16.0
2_22,1_3~CUW~1_18#MGNP,11.0
2_23,1_11~CUW~1_3,12.0
2_24,1_5~CUW~1_11#MGNF,12.0
2_25,1_11~CUW~1_18#MGNF,15.0
