cid,identity,score
2_19,1_5~CUW~1_3#MGNP,24.0
3_2,2_3~CUW~2_2,22.0
3_3,2_3~CUW~1_24,16.0
3_4,2_11~CUW~1_24#MUR,16.0
3_5,1_24~CUW~2_3#MGNF,18.0
3_6,1_24~CUW~2_19#MUR,11.0
3_7,2_19~CUW~2_11#MGNF,14.0
3_8,2_11~CUW~2_3#MUR,11.0
3_9,1_24~CUW~2_3#MGNP,21.0
3_10,2_19~CUW~2_2#MGNF,21.0
3_11,2_19~CUW~2_11,14.0
3_12,2_19~CUW~2_3#MUR,14.0
3_13,2_19~CUW~2_2#MGNF,19.0
3_14,2_11~CUW~1_24,21.0
3_15,2_2~CUW~2_3#MGNP,21.0
3_16,2_11~CUW~2_2,11.0
3_17,1_24~CUW~2_11#MGNF,16.0
3_18,2_11~CUW~1_24#MGNF,19.0
3_19,1_24~CUW~2_19,16.0
3_20,2_3~CUW~1_24#MUR,19.0
3_21,2_19~CUW~2_2#MGNP,11.0
3_22,2_11~CUW~2_3#MGNP,11.0
3_23,2_2~CUW~2_19#MGNP,11.0
3_24,1_24~CUW~2_11,21.0
3_25,1_24~CUW~2_2,21.0
