cid,identity,score
2_19,1_5~CUW~1_3#MGNP,24.0
4_2,2_19~CUW~3_2#MGNP,21.0
4_3,3_9~CUW~3_10#MGNP,12.0
4_4,2_19~CUW~3_2#MUR,14.0
4_5,3_10~CUW~2_19#MGNP,19.0
4_6,3_2~CUW~3_10,23.0
4_7,3_10~CUW~3_9#MGNP,21.0
4_8,3_9~CUW~3_14#MGNF,21.0
4_9,2_19~CUW~3_2#MGNF,11.0
4_10,3_9~CUW~3_2#MUR,16.0
4_11,3_14~CUW~3_2,16.0
4_12,2_19~CUW~3_14#MUR,21.0
4_13,3_10~CUW~3_14#MGNP,14.0
4_14,3_10~CUW~3_2,14.0
4_15,3_10~CUW~3_9#MUR,19.0
4_16,3_9~CUW~3_14#MGNF,21.0
4_17,3_9~CUW~3_10#MUR,11.0
4_18,3_14~CUW~2_19#MUR,16.0
4_19,3_9~CUW~2_19#MGNP,16.0
4_20,3_10~CUW~3_2,20.0
4_21,2_19~CUW~3_2#MUR,20.0
4_22,3_2~CUW~3_9#MGNF,21.0
4_23,2_19~CUW~3_9#MGNP,21.0
4_24,3_14~CUW~2_19#MGNF,18.0
4_25,3_9~CUW~3_14#MGNF,21.0
