cid,identity,score
2_19,1_5~CUW~1_3#MGNP,24.0
5_2,2_19~CUW~4_2#MUR,14.0
5_3,4_2~CUW~2_19#MGNP,21.0
5_4,4_6~CUW~2_19#MUR,11.0
5_5,2_19~CUW~4_2#MUR,8.0
5_6,4_8~CUW~4_6#MGNP,21.0
5_7,4_2~CUW~2_19,21.0
5_8,4_7~CUW~2_19,13.0
5_9,2_19~CUW~4_7#MUR,11.0
5_10,4_7~CUW~4_8,21.0
5_11,4_7~CUW~4_6#MGNF,21.0
5_12,4_8~CUW~4_7#MGNF,21.0
5_13,2_19~CUW~4_2#MGNF,14.0
5_14,4_7~CUW~4_8#MUR,17.0
5_15,4_7~CUW~4_8#MUR,8.0
5_16,4_2~CUW~4_6#MUR,21.0
5_17,2_19~CUW~4_7,19.0
5_18,2_19~CUW~4_6#MGNF,14.0
5_19,4_7~CUW~4_6,21.0
5_20,4_2~CUW~4_7#MUR,15.0
5_21,2_19~CUW~4_2#MGNP,16.0
5_22,4_6~CUW~2_19,14.0
5_23,4_7~CUW~4_2#MGNP,21.0
5_24,2_19~CUW~4_6#MGNF,17.0
5_25,4_8~CUW~4_7,22.0
