cid,identity,score
1_5,(none),86.0
4_2,3_5~CUW~3_15,66.0
4_3,3_5~CUW~3_15#MUR,43.0
4_4,3_5~CUW~3_15#MUR,86.0
4_5,3_15~CUW~1_5#MUR,30.0
4_6,1_5~CUW~3_15#MGNF,63.0
4_7,3_16~CUW~1_5#MGNF,86.0
4_8,3_11~CUW~3_15#MGNF,57.0
4_9,3_5~CUW~3_11#MUR,86.0
4_10,3_15~CUW~1_5#MGNP,86.0
4_11,1_5~CUW~3_16#MGNF,86.0
4_12,3_11~CUW~3_16#MGNP,51.0
4_13,3_15~CUW~3_5#MGNP,71.0
4_14,3_11~CUW~3_5#MGNP,68.0
4_15,3_5~CUW~3_15#MUR,51.0
4_16,3_16~CUW~3_11,86.0
4_17,3_16~CUW~3_5,67.0
4_18,3_16~CUW~3_5#MGNP,51.0
4_19,3_15~CUW~3_16#MGNP,86.0
4_20,3_11~CUW~3_15,86.0
4_21,3_5~CUW~3_15,64.0
4_22,3_5~CUW~3_11#MGNF,86.0
4_23,3_15~CUW~3_5,81.0
4_24,3_5~CUW~3_11#MGNF,86.0
4_25,1_5~CUW~3_11#MUR,50.0
