cid,identity,score
1_5,(none),86.0
2_2,1_7~CUW~1_15#MUR,67.0
2_3,1_15~CUW~1_5#MGNP,86.0
2_4,1_7~CUW~1_21#MGNP,86.0
2_5,1_5~CUW~1_21#MGNF,86.0
2_6,1_21~CUW~1_15,79.0
2_7,1_7~CUW~1_5#MGNF,55.0
2_8,1_21~CUW~1_15#MGNP,79.0
2_9,1_15~CUW~1_5#MGNP,84.0
2_10,1_9~CUW~1_15#MGNF,86.0
2_11,1_7~CUW~1_21#MGNF,82.0
2_12,1_15~CUW~1_21#MGNF,65.0
2_13,1_5~CUW~1_9#MGNP,30.0
2_14,1_7~CUW~1_21#MGNP,86.0
2_15,1_15~CUW~1_5,51.0
2_16,1_9~CUW~1_5#MUR,86.0
2_17,1_7~CUW~1_5,86.0
2_18,1_5~CUW~1_9,86.0
2_19,1_21~CUW~1_9#MGNF,86.0
2_20,1_9~CUW~1_7#MGNF,51.0
2_21,1_5~CUW~1_21#MGNP,86.0
2_22,1_15~CUW~1_9#MGNP,84.0
2_23,1_5~CUW~1_15#MUR,82.0
2_24,1_15~CUW~1_7#MUR,86.0
2_25,1_9~CUW~1_15#MGNF,72.0
