cid,identity,score
1_1,(none),10.0
10_2,9_4~CUW~9_5#MGNF,10.0
10_3,9_2~CUW~9_3,10.0
10_4,9_2~CUW~1_1,10.0
10_5,9_3~CUW~9_5,10.0
10_6,9_3~CUW~1_1,10.0
10_7,9_3~CUW~9_4#MGNP,10.0
10_8,9_5~CUW~9_2#MUR,10.0
10_9,9_2~CUW~9_3#MGNP,10.0
10_10,9_2~CUW~9_3#MGNF,10.0
10_11,9_3~CUW~9_2,10.0
10_12,9_2~CUW~9_4#MGNP,10.0
10_13,9_5~CUW~9_2#MGNF,10.0
10_14,9_2~CUW~9_4,10.0
10_15,9_3~CUW~1_1#MGNF,10.0
10_16,9_3~CUW~9_2,10.0
10_17,9_3~CUW~9_5#MUR,10.0
10_18,9_4~CUW~1_1#MGNP,10.0
10_19,9_4~CUW~9_3#MGNF,10.0
10_20,1_1~CUW~9_5#MUR,10.0
10_21,9_4~CUW~1_1,10.0
10_22,9_2~CUW~9_4#MGNP,10.0
10_23,9_4~CUW~9_3,10.0
10_24,9_5~CUW~9_2#MUR,10.0
10_25,9_4~CUW~9_5#MGNF,10.0
