cid,identity,score
1_1,(none),10.0
29_2,1_1~CUW~28_3,10.0
29_3,28_4~CUW~28_5#MGNP,10.0
29_4,28_3~CUW~1_1,10.0
29_5,28_3~CUW~1_1#MGNP,10.0
29_6,28_3~CUW~28_2#MGNP,10.0
29_7,28_5~CUW~28_4#MGNF,10.0
29_8,28_5~CUW~28_4#MGNF,10.0
29_9,1_1~CUW~28_4#MGNF,10.0
29_10,28_3~CUW~28_2#MGNF,10.0
29_11,28_5~CUW~28_4,10.0
29_12,28_2~CUW~28_4#MGNP,10.0
29_13,28_2~CUW~28_4#MUR,10.0
29_14,28_3~CUW~28_4#MGNF,10.0
29_15,28_3~CUW~28_4#MGNF,10.0
29_16,1_1~CUW~28_4#MUR,10.0
29_17,28_3~CUW~28_2#MGNF,10.0
29_18,28_2~CUW~28_4,10.0
29_19,28_2~CUW~28_4,10.0
29_20,28_4~CUW~28_2#MGNP,10.0
29_21,1_1~CUW~28_4#MUR,10.0
29_22,28_2~CUW~28_3#MGNF,10.0
29_23,28_3~CUW~28_4#MUR,10.0
29_24,28_2~CUW~1_1#MGNP,10.0
29_25,28_4~CUW~28_5#MUR,10.0
