cid,identity,score
1_1,(none),10.0
26_2,25_2~CUW~1_1#MGNF,10.0
26_3,25_3~CUW~25_5,10.0
26_4,25_2~CUW~25_5#MGNP,10.0
26_5,1_1~CUW~25_3#MGNF,10.0
26_6,1_1~CUW~25_4#MGNP,10.0
26_7,25_3~CUW~1_1#MGNF,10.0
26_8,1_1~CUW~25_4#MUR,10.0
26_9,25_5~CUW~1_1#MGNF,10.0
26_10,1_1~CUW~25_3#MUR,10.0
26_11,25_4~CUW~1_1#MGNF,10.0
26_12,25_3~CUW~25_2,10.0
26_13,25_2~CUW~25_4,10.0
26_14,25_4~CUW~1_1#MUR,10.0
26_15,25_3~CUW~25_2#MGNF,10.0
26_16,25_4~CUW~25_2#MGNF,10.0
26_17,25_2~CUW~25_4#MUR,10.0
26_18,25_4~CUW~25_5,10.0
26_19,25_3~CUW~25_2#MGNF,10.0
26_20,25_4~CUW~1_1#MUR,10.0
26_21,25_4~CUW~25_5#MUR,10.0
26_22,1_1~CUW~25_5#MGNP,10.0
26_23,25_4~CUW~25_2#MGNP,10.0
26_24,25_4~CUW~25_2#MGNP,10.0
26_25,25_3~CUW~1_1#MGNP,10.0
