cid,identity,score
1_1,(none),10.0
24_2,23_2~CUW~23_5#MUR,10.0
24_3,23_2~CUW~23_3#MGNP,10.0
24_4,23_2~CUW~1_1,10.0
24_5,23_4~CUW~23_2#MUR,10.0
24_6,23_5~CUW~23_4#MGNP,10.0
24_7,23_2~CUW~23_5,10.0
24_8,23_3~CUW~23_5,10.0
24_9,1_1~CUW~23_3#MGNP,10.0
24_10,23_2~CUW~23_5,10.0
24_11,23_2~CUW~23_5#MGNP,10.0
24_12,23_4~CUW~23_2#MGNF,10.0
24_13,23_2~CUW~23_3,10.0
24_14,23_4~CUW~23_5#MGNP,10.0
24_15,23_2~CUW~23_4#MGNP,10.0
24_16,23_2~CUW~1_1#MGNF,10.0
24_17,23_5~CUW~23_2#MGNP,10.0
24_18,23_4~CUW~23_5#MGNP,10.0
24_19,1_1~CUW~23_2,10.0
24_20,23_4~CUW~23_2#MGNP,10.0
24_21,23_3~CUW~23_5#MUR,10.0
24_22,1_1~CUW~23_3#MGNP,10.0
24_23,23_2~CUW~23_4,10.0
24_24,1_1~CUW~23_2#MUR,10.0
24_25,1_1~CUW~23_4,10.0
