cid,identity,score
1_1,(none),10.0
16_2,15_5~CUW~15_4#MGNF,10.0
16_3,15_5~CUW~15_4#MGNF,10.0
16_4,15_5~CUW~1_1#MGNF,10.0
16_5,15_3~CUW~1_1#MGNP,10.0
16_6,15_2~CUW~1_1,10.0
16_7,15_5~CUW~15_3#MGNP,10.0
16_8,15_2~CUW~15_3#MUR,10.0
16_9,15_3~CUW~15_2#MGNF,10.0
16_10,1_1~CUW~15_4#MGNF,10.0
16_11,15_3~CUW~1_1#MUR,10.0
16_12,15_2~CUW~1_1#MGNP,10.0
16_13,15_4~CUW~15_3#MGNP,10.0
16_14,15_5~CUW~15_3#MGNF,10.0
16_15,1_1~CUW~15_5#MGNF,10.0
16_16,15_2~CUW~1_1#MGNP,10.0
16_17,15_4~CUW~15_5#MGNF,10.0
16_18,15_5~CUW~1_1#MUR,10.0
16_19,1_1~CUW~15_5#MGNF,10.0
16_20,15_3~CUW~15_2#MGNP,10.0
16_21,15_2~CUW~15_4#MGNF,10.0
16_22,15_3~CUW~1_1#MGNP,10.0
16_23,15_2~CUW~1_1#MGNF,10.0
16_24,1_1~CUW~15_5#MGNF,10.0
16_25,15_2~CUW~15_3#MGNF,10.0
