cid,identity,score
1_1,(none),10.0
8_2,7_5~CUW~1_1#MUR,10.0
8_3,1_1~CUW~7_3#MGNF,10.0
8_4,7_2~CUW~7_5#MGNP,10.0
8_5,7_5~CUW~7_3#MGNF,10.0
8_6,7_2~CUW~7_4#MGNF,10.0
8_7,7_4~CUW~7_2#MGNP,10.0
8_8,7_4~CUW~1_1#MGNP,10.0
8_9,1_1~CUW~7_4#MUR,10.0
8_10,7_4~CUW~7_2#MGNF,10.0
8_11,1_1~CUW~7_4#MUR,10.0
8_12,7_2~CUW~7_4#MUR,10.0
8_13,7_4~CUW~7_5#MUR,10.0
8_14,7_4~CUW~7_3#MGNF,10.0
8_15,7_4~CUW~7_2#MUR,10.0
8_16,7_5~CUW~7_4#MUR,10.0
8_17,7_3~CUW~7_4#MGNF,10.0
8_18,7_2~CUW~7_3#MGNF,10.0
8_19,7_3~CUW~7_5#MGNP,10.0
8_20,7_4~CUW~7_5#MUR,10.0
8_21,7_2~CUW~1_1,10.0
8_22,7_2~CUW~7_5,10.0
8_23,1_1~CUW~7_5#MGNF,10.0
8_24,7_5~CUW~7_4#MGNF,10.0
8_25,7_4~CUW~7_5#MGNP,10.0
