cid,identity,score
1_1,(none),10.0
13_2,12_5~CUW~12_2#MGNP,10.0
13_3,12_3~CUW~12_2,10.0
13_4,12_3~CUW~1_1,10.0
13_5,12_5~CUW~12_2,10.0
13_6,1_1~CUW~12_2,10.0
13_7,12_4~CUW~12_2#MUR,10.0
13_8,1_1~CUW~12_4#MGNF,10.0
13_9,12_5~CUW~1_1#MGNF,10.0
13_10,1_1~CUW~12_5#MUR,10.0
13_11,1_1~CUW~12_3#MUR,10.0
13_12,1_1~CUW~12_5#MGNP,10.0
13_13,1_1~CUW~12_4#MUR,10.0
13_14,12_2~CUW~1_1#MGNF,10.0
13_15,12_4~CUW~1_1#MUR,10.0
13_16,12_4~CUW~1_1#MGNP,10.0
13_17,12_4~CUW~12_2#MGNP,10.0
13_18,12_5~CUW~12_2#MGNP,10.0
13_19,12_2~CUW~12_3#MGNF,10.0
13_20,12_4~CUW~12_2#MGNF,10.0
13_21,12_5~CUW~12_3#MUR,10.0
13_22,12_4~CUW~1_1#MUR,10.0
13_23,12_3~CUW~1_1,10.0
13_24,12_5~CUW~12_3#MUR,10.0
13_25,12_5~CUW~12_2#MGNF,10.0
