cid,identity,score
1_1,(none),10.0
20_2,19_3~CUW~19_4#MUR,10.0
20_3,19_4~CUW~19_5#MGNF,10.0
20_4,19_3~CUW~1_1#MGNF,10.0
20_5,19_4~CUW~1_1#MUR,10.0
20_6,19_3~CUW~1_1#MUR,10.0
20_7,19_5~CUW~1_1,10.0
20_8,19_3~CUW~19_4#MUR,10.0
20_9,19_5~CUW~1_1#MGNP,10.0
20_10,19_3~CUW~1_1#MGNF,10.0
20_11,19_2~CUW~19_5#MUR,10.0
20_12,1_1~CUW~19_2#MGNF,10.0
20_13,19_4~CUW~19_3#MGNF,10.0
20_14,19_2~CUW~19_5,10.0
20_15,19_4~CUW~19_2#MGNP,10.0
20_16,19_5~CUW~19_3#MUR,10.0
20_17,19_4~CUW~19_3#MGNF,10.0
20_18,19_5~CUW~1_1,10.0
20_19,19_5~CUW~1_1#MGNF,10.0
20_20,19_2~CUW~19_3#MGNP,10.0
20_21,19_5~CUW~19_4#MGNF,10.0
20_22,1_1~CUW~19_4,10.0
20_23,19_2~CUW~1_1,10.0
20_24,19_4~CUW~19_5#MGNF,10.0
20_25,19_4~CUW~1_1,10.0
