cid,identity,score
1_1,(none),10.0
12_2,11_2~CUW~11_4#MGNP,10.0
12_3,11_3~CUW~11_2#MGNF,10.0
12_4,11_3~CUW~11_4#MGNP,10.0
12_5,11_4~CUW~11_2#MGNP,10.0
12_6,1_1~CUW~11_4#MGNP,10.0
12_7,11_5~CUW~11_4#MGNP,10.0
12_8,1_1~CUW~11_5#MGNP,10.0
12_9,11_4~CUW~11_3#MUR,10.0
12_10,1_1~CUW~11_4,10.0
12_11,11_3~CUW~11_4#MGNP,10.0
12_12,11_4~CUW~1_1,10.0
12_13,1_1~CUW~11_2#MUR,10.0
12_14,1_1~CUW~11_5#MGNP,10.0
12_15,11_2~CUW~11_3#MGNF,10.0
12_16,11_4~CUW~11_3#MUR,10.0
12_17,11_4~CUW~11_5,10.0
12_18,11_3~CUW~1_1#MUR,10.0
12_19,11_5~CUW~11_3,10.0
12_20,11_4~CUW~11_3,10.0
12_21,11_3~CUW~1_1#MGNP,10.0
12_22,11_4~CUW~11_3#MGNP,10.0
12_23,1_1~CUW~11_2,10.0
12_24,11_2~CUW~1_1#MGNF,10.0
12_25,11_5~CUW~11_4#MGNP,10.0
