cid,identity,score
1_1,(none),10.0
27_2,26_4~CUW~1_1#MGNF,10.0
27_3,26_5~CUW~26_4#MGNP,10.0
27_4,1_1~CUW~26_5#MGNP,10.0
27_5,1_1~CUW~26_5#MUR,10.0
27_6,26_2~CUW~1_1,10.0
27_7,26_5~CUW~26_4,10.0
27_8,26_3~CUW~26_4#MGNF,10.0
27_9,26_5~CUW~26_2#MUR,10.0
27_10,26_3~CUW~1_1#MUR,10.0
27_11,26_2~CUW~26_5#MGNP,10.0
27_12,26_3~CUW~26_4#MGNF,10.0
27_13,26_5~CUW~1_1#MGNP,10.0
27_14,26_4~CUW~26_5#MGNP,10.0
27_15,26_2~CUW~26_4#MGNF,10.0
27_16,26_2~CUW~26_3#MGNP,10.0
27_17,26_2~CUW~26_5#MUR,10.0
27_18,26_3~CUW~1_1#MUR,10.0
27_19,26_5~CUW~26_3#MGNF,10.0
27_20,1_1~CUW~26_3,10.0
27_21,26_4~CUW~26_5#MGNP,10.0
27_22,26_3~CUW~1_1#MGNP,10.0
27_23,26_3~CUW~26_2#MGNF,10.0
27_24,26_2~CUW~26_4,10.0
27_25,26_4~CUW~26_3#MGNP,10.0
