cid,identity,score
1_1,(none),10.0
18_2,17_4~CUW~17_5,10.0
18_3,17_4~CUW~1_1#MGNF,10.0
18_4,17_4~CUW~17_3#MUR,10.0
18_5,17_4~CUW~17_2,10.0
18_6,17_4~CUW~17_2#MGNP,10.0
18_7,17_4~CUW~17_5#MGNP,10.0
18_8,17_5~CUW~17_3#MGNP,10.0
18_9,17_2~CUW~17_5,10.0
18_10,1_1~CUW~17_2#MGNF,10.0
18_11,1_1~CUW~17_5#MGNP,10.0
18_12,17_3~CUW~17_5#MGNP,10.0
18_13,17_5~CUW~17_4#MUR,10.0
18_14,1_1~CUW~17_2,10.0
18_15,17_3~CUW~1_1#MGNF,10.0
18_16,17_3~CUW~17_5#MGNP,10.0
18_17,17_4~CUW~17_2#MUR,10.0
18_18,17_2~CUW~17_5,10.0
18_19,17_3~CUW~17_5#MGNF,10.0
18_20,17_3~CUW~17_5,10.0
18_21,17_3~CUW~1_1#MGNF,10.0
18_22,17_4~CUW~17_3#MGNF,10.0
18_23,17_2~CUW~17_5#MGNP,10.0
18_24,1_1~CUW~17_3#MGNF,10.0
18_25,17_3~CUW~1_1#MGNP,10.0
