cid,identity,score
1_1,(none),10.0
3_2,2_4~CUW~2_3#MUR,10.0
3_3,1_1~CUW~2_3,10.0
3_4,1_1~CUW~2_4#MGNF,10.0
3_5,2_3~CUW~2_5,10.0
3_6,2_2~CUW~2_5#MGNP,10.0
3_7,2_2~CUW~2_3#MGNP,10.0
3_8,2_4~CUW~2_5#MGNP,10.0
3_9,2_2~CUW~2_3#MUR,10.0
3_10,2_2~CUW~2_3#MGNF,10.0
3_11,2_3~CUW~2_5#MUR,10.0
3_12,2_4~CUW~1_1#MUR,10.0
3_13,2_3~CUW~2_2#MGNF,10.0
3_14,2_5~CUW~2_2#MGNF,10.0
3_15,2_5~CUW~2_2,10.0
3_16,2_5~CUW~2_2#MGNP,10.0
3_17,2_2~CUW~1_1#MGNF,10.0
3_18,2_5~CUW~2_4#MUR,10.0
3_19,1_1~CUW~2_3#MUR,10.0
3_20,1_1~CUW~2_3,10.0
3_21,1_1~CUW~2_5#MGNP,10.0
3_22,2_3~CUW~2_4#MGNP,10.0
3_23,2_3~CUW~2_2,10.0
3_24,1_1~CUW~2_5#MUR,10.0
3_25,2_4~CUW~2_5#MUR,10.0
