cid,identity,score
1_8,(none),86.0
3_2,1_8~CUW~2_22#MUR,31.0
3_3,2_23~CUW~2_11#MGNF,86.0
3_4,2_22~CUW~2_12#MUR,51.0
3_5,2_11~CUW~2_22#MUR,65.0
3_6,2_22~CUW~2_23#MGNF,79.0
3_7,2_22~CUW~1_8#MGNP,79.0
3_8,2_12~CUW~2_11#MGNP,79.0
3_9,2_23~CUW~1_8#MGNF,71.0
3_10,2_23~CUW~2_11#MGNP,49.0
3_11,2_11~CUW~2_23#MGNF,86.0
3_12,2_22~CUW~2_23#MGNF,55.0
3_13,1_8~CUW~2_22#MGNF,86.0
3_14,1_8~CUW~2_22#MGNP,86.0
3_15,2_11~CUW~2_23#MUR,50.0
3_16,2_23~CUW~2_12#MUR,79.0
3_17,2_22~CUW~2_11,80.0
3_18,1_8~CUW~2_22#MUR,49.0
3_19,2_23~CUW~2_22#MGNF,50.0
3_20,2_12~CUW~2_22#MGNF,80.0
3_21,2_22~CUW~1_8#MUR,86.0
3_22,2_11~CUW~2_12#MUR,51.0
3_23,1_8~CUW~2_12,79.0
3_24,2_22~CUW~2_23#MGNF,51.0
3_25,2_23~CUW~2_22#MUR,82.0
