cid,identity,score
1_8,(none),86.0
5_2,4_7~CUW~1_8,86.0
5_3,4_15~CUW~1_8,86.0
5_4,4_7~CUW~4_10,86.0
5_5,4_15~CUW~4_10#MUR,64.0
5_6,4_15~CUW~4_13#MGNF,82.0
5_7,4_7~CUW~1_8#MGNF,86.0
5_8,4_10~CUW~4_15#MGNF,86.0
5_9,4_10~CUW~4_7#MGNP,80.0
5_10,4_10~CUW~4_13#MGNP,79.0
5_11,4_15~CUW~1_8,86.0
5_12,4_7~CUW~4_15#MGNP,86.0
5_13,4_13~CUW~1_8#MGNP,86.0
5_14,4_15~CUW~4_7#MUR,52.0
5_15,4_13~CUW~4_10,83.0
5_16,1_8~CUW~4_10#MUR,69.0
5_17,4_15~CUW~4_10,86.0
5_18,4_10~CUW~4_7,86.0
5_19,4_7~CUW~4_13#MGNF,77.0
5_20,4_15~CUW~4_7#MGNP,86.0
5_21,4_7~CUW~4_10#MUR,64.0
5_22,1_8~CUW~4_7,82.0
5_23,4_7~CUW~1_8#MUR,76.0
5_24,4_13~CUW~4_10#MGNP,82.0
5_25,4_15~CUW~4_13#MGNP,86.0
