generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,browser/1/20190828-0812,86.0,30.0,56.8,1_11,1_25
2,browser/2/20190828-0812,86.0,30.0,69.6,2_4,2_25
3,browser/3/20190828-0812,86.0,30.0,68.64,3_19,3_25
4,browser/4/20190828-0812,86.0,45.0,81.8,4_7,4_25
5,browser/5/20190828-0812,86.0,56.0,80.04,5_4,5_25
