cid,identity,score
1_4,(none),86.0
5_2,4_2~CUW~1_4#MGNP,86.0
5_3,4_8~CUW~4_2#MGNF,85.0
5_4,1_4~CUW~4_8#MGNF,56.0
5_5,4_4~CUW~1_4#MGNF,86.0
5_6,4_8~CUW~4_2,86.0
5_7,4_8~CUW~4_2,86.0
5_8,4_4~CUW~1_4#MUR,79.0
5_9,4_5~CUW~1_4,79.0
5_10,4_4~CUW~4_8#MGNP,63.0
5_11,4_5~CUW~4_4#MUR,61.0
5_12,1_4~CUW~4_8,86.0
5_13,4_8~CUW~1_4,86.0
5_14,4_8~CUW~4_4#MGNF,86.0
5_15,1_4~CUW~4_2#MGNP,86.0
5_16,4_5~CUW~4_2#MGNF,71.0
5_17,4_5~CUW~4_8#MGNP,86.0
5_18,1_4~CUW~4_4#MGNP,86.0
5_19,4_4~CUW~1_4#MGNF,82.0
5_20,4_8~CUW~4_5#MGNP,72.0
5_21,4_5~CUW~1_4#MGNF,86.0
5_22,1_4~CUW~4_2,86.0
5_23,4_4~CUW~4_5#MGNF,63.0
5_24,4_5~CUW~4_2,86.0
5_25,1_4~CUW~4_5#MGNF,86.0
