cid,identity,score
1_4,(none),86.0
2_2,1_20~CUW~1_4#MUR,79.0
2_3,1_4~CUW~1_20#MGNF,60.0
2_4,1_14~CUW~1_25#MGNP,30.0
2_5,1_20~CUW~1_25#MGNP,86.0
2_6,1_25~CUW~1_20,48.0
2_7,1_25~CUW~1_4#MGNF,86.0
2_8,1_25~CUW~1_4#MGNF,86.0
2_9,1_5~CUW~1_20#MGNP,32.0
2_10,1_20~CUW~1_4#MGNP,73.0
2_11,1_20~CUW~1_4#MGNP,86.0
2_12,1_5~CUW~1_25#MUR,57.0
2_13,1_20~CUW~1_5#MGNF,73.0
2_14,1_5~CUW~1_20#MUR,86.0
2_15,1_20~CUW~1_5#MUR,55.0
2_16,1_20~CUW~1_4#MGNF,51.0
2_17,1_14~CUW~1_25#MGNF,86.0
2_18,1_5~CUW~1_14,79.0
2_19,1_4~CUW~1_20#MGNP,86.0
2_20,1_20~CUW~1_4#MUR,31.0
2_21,1_25~CUW~1_14#MUR,83.0
2_22,1_4~CUW~1_5#MUR,86.0
2_23,1_5~CUW~1_14#MGNF,47.0
2_24,1_20~CUW~1_4#MGNF,82.0
2_25,1_5~CUW~1_20,86.0
