cid,identity,score
1_1,(none),27039972.0
1_2,(none),13067080.0
1_3,(none),29187790.0
1_4,(none),13834416.0
1_5,(none),23531576.0
1_6,(none),13284684.0
1_7,(none),14093605.0
1_8,(none),18574110.0
1_9,(none),27439240.0
1_10,(none),15755122.0
1_11,(none),18259636.0
1_12,(none),33671068.0
1_13,(none),29907016.0
1_14,(none),17403924.0
1_15,(none),30353396.0
1_16,(none),29016788.0
1_17,(none),15927797.0
1_18,(none),12744464.0
1_19,(none),27747210.0
1_20,(none),20898484.0
1_21,(none),12026350.0
1_22,(none),18999004.0
1_23,(none),20305512.0
1_24,(none),36832276.0
1_25,(none),24405004.0
