cid,identity,score
1_24,(none),36832276.0
2_2,1_12~CUW~1_24,23310616.0
2_3,1_12~CUW~1_24,16738033.0
2_4,1_24~CUW~1_3#MGNF,24801676.0
2_5,1_13~CUW~1_24#MGNP,28944392.0
2_6,1_12~CUW~1_15#MGNP,32770944.0
2_7,1_24~CUW~1_12#MUR,23895466.0
2_8,1_12~CUW~1_3#MGNF,18067886.0
2_9,1_15~CUW~1_13#MUR,13810772.0
2_10,1_15~CUW~1_24#MUR,17424984.0
2_11,1_24~CUW~1_13#MGNP,29878884.0
2_12,1_12~CUW~1_13#MGNP,15462588.0
2_13,1_12~CUW~1_24#MGNP,22551380.0
2_14,1_15~CUW~1_13#MGNF,27074700.0
2_15,1_13~CUW~1_24#MUR,18309004.0
2_16,1_12~CUW~1_3#MGNP,32851624.0
2_17,1_12~CUW~1_24,11057312.0
2_18,1_3~CUW~1_12#MUR,21249844.0
2_19,1_15~CUW~1_3#MGNP,16792470.0
2_20,1_12~CUW~1_24#MGNP,35202016.0
2_21,1_13~CUW~1_3#MGNP,31155576.0
2_22,1_3~CUW~1_12#MUR,19906036.0
2_23,1_13~CUW~1_3#MGNF,17066496.0
2_24,1_12~CUW~1_15#MGNF,15612926.0
2_25,1_15~CUW~1_3#MGNP,20009180.0
