generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,esp-constraint/1/20190829-1029,36832276.0,12026350.0,21772220.96,1_21,1_24
2,esp-constraint/2/20190829-1029,36832276.0,11057312.0,22831083.24,2_17,1_24
3,esp-constraint/3/20190829-1029,36832276.0,12177553.0,25775103.12,3_17,1_24
4,esp-constraint/4/20190829-1029,36832276.0,14593846.0,25971451.36,4_4,1_24
5,esp-constraint/5/20190829-1029,36832276.0,13064360.0,27182253.96,5_5,1_24
