cid,identity,score
1_24,(none),36832276.0
3_2,2_6~CUW~2_21#MUR,21788156.0
3_3,2_16~CUW~1_24#MGNP,32790142.0
3_4,2_6~CUW~2_16#MGNP,25226478.0
3_5,2_21~CUW~2_20#MUR,14241334.0
3_6,2_20~CUW~2_16#MGNP,29490996.0
3_7,2_20~CUW~2_16#MGNF,27184532.0
3_8,2_6~CUW~1_24#MUR,29116678.0
3_9,2_21~CUW~2_6#MGNP,30598614.0
3_10,2_16~CUW~2_20#MUR,23657002.0
3_11,2_16~CUW~1_24#MGNP,28015574.0
3_12,2_21~CUW~2_6#MGNP,26154324.0
3_13,2_20~CUW~2_21#MUR,21464316.0
3_14,2_21~CUW~1_24#MGNF,23083886.0
3_15,2_6~CUW~2_16#MGNF,29564710.0
3_16,2_16~CUW~2_21#MGNF,30220804.0
3_17,1_24~CUW~2_21#MUR,12177553.0
3_18,2_6~CUW~1_24#MGNF,15214189.0
3_19,2_16~CUW~2_20,36767928.0
3_20,2_20~CUW~2_21,28863486.0
3_21,2_21~CUW~2_6#MGNF,21376084.0
3_22,2_20~CUW~2_16,27477344.0
3_23,2_16~CUW~2_21,19737464.0
3_24,2_21~CUW~2_16#MGNF,33734812.0
3_25,1_24~CUW~2_6#MGNF,19598896.0
