cid,identity,score
1_24,(none),36832276.0
4_2,3_3~CUW~3_24#MGNP,27903310.0
4_3,3_24~CUW~3_3#MUR,22777044.0
4_4,3_19~CUW~3_9#MGNP,14593846.0
4_5,3_3~CUW~3_9#MGNP,26157176.0
4_6,3_3~CUW~3_19#MGNP,33590184.0
4_7,3_19~CUW~1_24#MGNP,21996928.0
4_8,3_9~CUW~1_24#MGNF,23635082.0
4_9,3_24~CUW~1_24#MUR,21727048.0
4_10,3_9~CUW~3_19#MUR,21613668.0
4_11,3_24~CUW~3_9#MUR,22527700.0
4_12,1_24~CUW~3_24#MGNP,16767357.0
4_13,3_19~CUW~3_24,32904144.0
4_14,3_24~CUW~1_24,25150024.0
4_15,3_19~CUW~3_9,34424756.0
4_16,1_24~CUW~3_19#MUR,15953351.0
4_17,3_3~CUW~3_19#MGNF,36483656.0
4_18,3_24~CUW~3_19#MGNF,22274718.0
4_19,3_3~CUW~3_9#MGNP,25874462.0
4_20,3_24~CUW~3_3,36586716.0
4_21,3_9~CUW~3_24,22155686.0
4_22,3_19~CUW~3_9,30579540.0
4_23,1_24~CUW~3_3#MGNP,32561304.0
4_24,3_19~CUW~3_24,23236268.0
4_25,3_19~CUW~3_24#MGNF,20980040.0
