cid,identity,score
1_5,(none),22.0
2_2,1_3~CUW~1_25#MUR,14.0
2_3,1_18~CUW~1_25,18.0
2_4,1_3~CUW~1_18,18.0
2_5,1_18~CUW~1_2#MGNF,14.0
2_6,1_18~CUW~1_25#MUR,16.0
2_7,1_25~CUW~1_2#MGNP,21.0
2_8,1_18~CUW~1_3#MGNF,9.0
2_9,1_3~CUW~1_25#MGNP,14.0
2_10,1_2~CUW~1_3,21.0
2_11,1_5~CUW~1_2#MGNP,14.0
2_12,1_3~CUW~1_25,21.0
2_13,1_25~CUW~1_2#MGNF,21.0
2_14,1_3~CUW~1_5#MGNF,12.0
2_15,1_2~CUW~1_5,21.0
2_16,1_25~CUW~1_3#MUR,14.0
2_17,1_5~CUW~1_3#MGNP,21.0
2_18,1_5~CUW~1_18,21.0
2_19,1_18~CUW~1_25#MUR,21.0
2_20,1_2~CUW~1_25#MGNF,18.0
2_21,1_5~CUW~1_3#MGNF,16.0
2_22,1_25~CUW~1_3#MGNP,14.0
2_23,1_2~CUW~1_18#MGNF,16.0
2_24,1_25~CUW~1_2#MGNP,16.0
2_25,1_5~CUW~1_25#MGNP,21.0
