cid,identity,score
3_17,2_13~CUW~2_7,24.0
5_2,3_17~CUW~4_5#MGNP,21.0
5_3,3_17~CUW~4_2#MGNF,16.0
5_4,4_4~CUW~3_17#MUR,21.0
5_5,3_17~CUW~4_2,18.0
5_6,4_2~CUW~4_3,21.0
5_7,4_5~CUW~4_2,21.0
5_8,3_17~CUW~4_3#MGNF,21.0
5_9,3_17~CUW~4_3#MGNP,14.0
5_10,4_4~CUW~3_17#MGNP,14.0
5_11,4_4~CUW~4_3#MUR,10.0
5_12,3_17~CUW~4_3#MGNF,14.0
5_13,3_17~CUW~4_5#MGNP,21.0
5_14,4_5~CUW~4_3#MUR,18.0
5_15,4_2~CUW~3_17#MGNP,21.0
5_16,4_2~CUW~4_4#MUR,14.0
5_17,3_17~CUW~4_4#MGNF,16.0
5_18,4_4~CUW~4_5,21.0
5_19,4_2~CUW~4_5,21.0
5_20,4_3~CUW~4_2#MGNP,23.0
5_21,4_3~CUW~4_2#MUR,21.0
5_22,3_17~CUW~4_5,21.0
5_23,4_2~CUW~3_17#MGNF,23.0
5_24,4_5~CUW~4_4#MUR,21.0
5_25,4_4~CUW~4_2#MGNF,21.0
