cid,identity,score
1_11,(none),86.0
2_2,1_11~CUW~1_10#MGNF,60.0
2_3,1_10~CUW~1_11,68.0
2_4,1_10~CUW~1_17#MGNP,51.0
2_5,1_17~CUW~1_22#MGNF,83.0
2_6,1_17~CUW~1_22#MGNF,86.0
2_7,1_17~CUW~1_22#MGNP,59.0
2_8,1_11~CUW~1_22#MUR,81.0
2_9,1_17~CUW~1_22#MGNP,86.0
2_10,1_10~CUW~1_22,40.0
2_11,1_10~CUW~1_17#MGNP,86.0
2_12,1_17~CUW~1_11,86.0
2_13,1_17~CUW~1_10#MGNF,74.0
2_14,1_10~CUW~1_22,86.0
2_15,1_17~CUW~1_11#MGNP,86.0
2_16,1_11~CUW~1_10#MUR,71.0
2_17,1_22~CUW~1_17#MGNF,86.0
2_18,1_25~CUW~1_11#MUR,49.0
2_19,1_10~CUW~1_22,35.0
2_20,1_17~CUW~1_11#MGNP,54.0
2_21,1_25~CUW~1_22#MGNF,51.0
2_22,1_10~CUW~1_22#MGNP,51.0
2_23,1_17~CUW~1_10#MGNP,86.0
2_24,1_25~CUW~1_22,43.0
2_25,1_17~CUW~1_22,86.0
