cid,identity,score
1_11,(none),86.0
5_2,4_11~CUW~4_3#MUR,86.0
5_3,4_13~CUW~4_11,86.0
5_4,1_11~CUW~4_13#MGNP,67.0
5_5,4_13~CUW~4_5#MUR,76.0
5_6,1_11~CUW~4_5,86.0
5_7,4_5~CUW~1_11,86.0
5_8,4_5~CUW~4_13#MUR,86.0
5_9,4_11~CUW~4_5#MGNF,86.0
5_10,4_11~CUW~1_11#MUR,79.0
5_11,4_11~CUW~4_5#MGNF,86.0
5_12,4_3~CUW~4_5#MGNP,86.0
5_13,4_13~CUW~4_11#MUR,72.0
5_14,4_11~CUW~1_11#MUR,86.0
5_15,1_11~CUW~4_3,79.0
5_16,4_13~CUW~1_11#MGNP,60.0
5_17,4_11~CUW~4_3,86.0
5_18,4_13~CUW~4_5#MUR,78.0
5_19,4_13~CUW~4_11,80.0
5_20,4_3~CUW~1_11,82.0
5_21,4_13~CUW~1_11#MUR,86.0
5_22,4_5~CUW~1_11#MUR,86.0
5_23,1_11~CUW~4_13#MUR,51.0
5_24,4_5~CUW~4_13#MUR,86.0
5_25,4_11~CUW~4_3#MGNF,86.0
