cid,identity,score
1_11,(none),86.0
3_2,2_12~CUW~1_11#MGNF,81.0
3_3,2_11~CUW~1_11#MGNP,79.0
3_4,1_11~CUW~2_9#MGNP,79.0
3_5,2_12~CUW~2_6#MUR,69.0
3_6,2_9~CUW~2_12#MGNF,79.0
3_7,2_9~CUW~1_11#MGNP,51.0
3_8,2_6~CUW~2_11,86.0
3_9,2_9~CUW~2_6#MUR,79.0
3_10,2_6~CUW~2_9,86.0
3_11,2_9~CUW~2_11#MGNF,82.0
3_12,2_9~CUW~1_11#MUR,32.0
3_13,2_11~CUW~1_11#MGNP,36.0
3_14,1_11~CUW~2_9#MGNF,85.0
3_15,2_9~CUW~2_11#MGNF,46.0
3_16,1_11~CUW~2_11,35.0
3_17,1_11~CUW~2_11,79.0
3_18,2_11~CUW~2_12#MGNP,86.0
3_19,2_12~CUW~2_9#MGNF,86.0
3_20,2_6~CUW~2_12#MUR,42.0
3_21,2_9~CUW~2_6#MGNP,86.0
3_22,2_9~CUW~2_11,86.0
3_23,2_12~CUW~2_11#MUR,50.0
3_24,2_12~CUW~2_6#MUR,78.0
3_25,2_12~CUW~2_11#MGNF,46.0
