generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,browser/1/20190828-0811,86.0,30.0,58.52,1_9,1_25
2,browser/2/20190828-0811,86.0,35.0,69.2,2_19,2_25
3,browser/3/20190828-0811,86.0,32.0,69.2,3_12,3_22
4,browser/4/20190828-0811,86.0,45.0,73.32,4_21,4_24
5,browser/5/20190828-0811,86.0,51.0,80.56,5_23,5_25
