cid,identity,score
1_5,(none),21.0
2_2,1_5~CUW~1_25,16.0
2_3,1_12~CUW~1_19#MUR,14.0
2_4,1_25~CUW~1_12#MGNP,18.0
2_5,1_5~CUW~1_20#MUR,21.0
2_6,1_19~CUW~1_5#MGNF,11.0
2_7,1_12~CUW~1_5#MUR,14.0
2_8,1_12~CUW~1_5#MGNF,22.0
2_9,1_5~CUW~1_20#MGNF,21.0
2_10,1_5~CUW~1_25#MGNP,11.0
2_11,1_20~CUW~1_5#MGNF,14.0
2_12,1_25~CUW~1_5#MGNF,14.0
2_13,1_19~CUW~1_25,11.0
2_14,1_5~CUW~1_20#MUR,14.0
2_15,1_12~CUW~1_19#MUR,19.0
2_16,1_25~CUW~1_19#MGNP,14.0
2_17,1_25~CUW~1_12#MGNF,16.0
2_18,1_12~CUW~1_19#MGNP,16.0
2_19,1_25~CUW~1_5#MUR,19.0
2_20,1_25~CUW~1_5#MUR,20.0
2_21,1_25~CUW~1_19#MGNF,16.0
2_22,1_5~CUW~1_19,21.0
2_23,1_5~CUW~1_12,21.0
2_24,1_12~CUW~1_5#MGNP,21.0
2_25,1_5~CUW~1_12#MGNP,16.0
