generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,XDE/1/20190828-0758,21.0,11.0,15.24,1_6,1_25
2,XDE/2/20190828-0758,22.0,11.0,16.84,2_6,2_8
3,XDE/3/20190828-0758,24.0,11.0,18.76,3_9,3_17
4,XDE/4/20190828-0758,24.0,13.0,18.68,4_2,4_5
5,XDE/5/20190828-0758,24.0,13.0,19.08,5_14,5_25
