cid,identity,score
3_16,1_5~CUW~2_22#MGNF,24.0
4_2,2_8~CUW~3_16#MUR,13.0
4_3,3_11~CUW~3_16,22.0
4_4,3_17~CUW~3_11#MUR,14.0
4_5,2_8~CUW~3_2,24.0
4_6,3_2~CUW~3_16#MGNP,19.0
4_7,3_11~CUW~3_2#MUR,17.0
4_8,2_8~CUW~3_11#MUR,14.0
4_9,3_17~CUW~3_11,21.0
4_10,2_8~CUW~3_17#MGNP,17.0
4_11,3_2~CUW~3_16#MGNP,14.0
4_12,3_11~CUW~3_2#MGNP,21.0
4_13,3_11~CUW~3_16,14.0
4_14,3_16~CUW~3_11#MGNF,21.0
4_15,3_11~CUW~3_16#MGNF,19.0
4_16,3_11~CUW~3_17,22.0
4_17,3_11~CUW~3_16,18.0
4_18,3_17~CUW~3_2#MGNP,22.0
4_19,3_2~CUW~3_11#MGNF,20.0
4_20,3_16~CUW~2_8#MUR,14.0
4_21,3_17~CUW~2_8#MGNF,21.0
4_22,3_17~CUW~3_2#MUR,16.0
4_23,3_11~CUW~2_8#MGNF,20.0
4_24,3_11~CUW~3_17,18.0
4_25,3_11~CUW~2_8#MUR,22.0
