generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,browser/1/20190828-0804,86.0,30.0,65.88,1_2,1_24
2,browser/2/20190828-0804,86.0,31.0,66.32,2_16,2_25
3,browser/3/20190828-0804,86.0,47.0,77.76,3_20,3_25
4,browser/4/20190828-0804,86.0,37.0,80.0,4_6,4_24
5,browser/5/20190828-0805,86.0,51.0,79.92,5_13,5_25
