cid,identity,score
1_12,(none),65.0
2_2,1_14~CUW~1_12,65.0
2_3,1_12~CUW~1_21#MUR,25.0
2_4,1_21~CUW~1_15#MGNP,35.0
2_5,1_14~CUW~1_22,50.0
2_6,1_22~CUW~1_14#MGNF,65.0
2_7,1_21~CUW~1_15#MGNP,45.0
2_8,1_14~CUW~1_22,50.0
2_9,1_15~CUW~1_12#MGNF,52.0
2_10,1_15~CUW~1_12#MGNP,39.0
2_11,1_12~CUW~1_21#MGNP,53.0
2_12,1_12~CUW~1_21#MGNP,35.0
2_13,1_15~CUW~1_14,51.0
2_14,1_15~CUW~1_21#MGNP,50.0
2_15,1_21~CUW~1_12#MGNP,62.0
2_16,1_14~CUW~1_22#MGNP,65.0
2_17,1_22~CUW~1_15,37.0
2_18,1_12~CUW~1_15#MGNP,56.0
2_19,1_22~CUW~1_12#MUR,47.0
2_20,1_14~CUW~1_12#MGNP,65.0
2_21,1_12~CUW~1_21#MUR,64.0
2_22,1_14~CUW~1_15,65.0
2_23,1_21~CUW~1_14#MGNF,50.0
2_24,1_22~CUW~1_21,35.0
2_25,1_21~CUW~1_12#MGNF,43.0
