generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,XDE/1/20190828-0718,65.0,24.0,49.8,1_13,1_24
2,XDE/2/20190828-0718,65.0,25.0,50.76,2_3,2_22
3,XDE/3/20190828-0718,65.0,25.0,50.68,3_13,3_25
4,XDE/4/20190828-0718,66.0,25.0,54.96,4_16,4_2
5,XDE/5/20190828-0718,66.0,25.0,52.56,5_10,4_2
