cid,identity,score
4_2,3_3~CUW~3_4#MUR,66.0
5_2,4_2~CUW~4_4#MGNF,53.0
5_3,4_4~CUW~4_6#MGNP,65.0
5_4,4_6~CUW~4_4#MUR,63.0
5_5,4_2~CUW~4_4#MUR,29.0
5_6,1_12~CUW~4_3#MGNP,45.0
5_7,4_3~CUW~4_2#MUR,37.0
5_8,4_4~CUW~4_2#MGNF,65.0
5_9,4_2~CUW~4_3#MUR,52.0
5_10,4_2~CUW~4_6#MUR,25.0
5_11,1_12~CUW~4_3#MUR,65.0
5_12,4_4~CUW~4_6#MUR,40.0
5_13,4_6~CUW~4_3#MGNF,55.0
5_14,4_3~CUW~4_4#MUR,35.0
5_15,4_4~CUW~4_3#MGNP,65.0
5_16,4_4~CUW~4_2#MGNF,64.0
5_17,1_12~CUW~4_3,65.0
5_18,4_3~CUW~1_12#MUR,32.0
5_19,1_12~CUW~4_6#MGNF,65.0
5_20,4_2~CUW~4_6#MGNP,62.0
5_21,4_6~CUW~4_2#MGNP,50.0
5_22,4_6~CUW~4_3,65.0
5_23,4_2~CUW~4_4,63.0
5_24,4_2~CUW~1_12#MUR,33.0
5_25,4_4~CUW~4_6#MGNP,55.0
