cid,identity,score
1_12,(none),65.0
4_2,3_3~CUW~3_4#MUR,66.0
4_3,3_19~CUW~1_12#MUR,65.0
4_4,3_9~CUW~1_12,65.0
4_5,3_3~CUW~1_12#MGNF,62.0
4_6,3_9~CUW~1_12,65.0
4_7,3_19~CUW~3_4#MGNP,59.0
4_8,3_4~CUW~3_9#MGNF,65.0
4_9,3_4~CUW~3_19#MUR,59.0
4_10,3_9~CUW~1_12,65.0
4_11,3_19~CUW~3_3#MGNF,62.0
4_12,1_12~CUW~3_19#MUR,35.0
4_13,3_4~CUW~3_19,65.0
4_14,1_12~CUW~3_4#MUR,39.0
4_15,3_4~CUW~3_19#MGNF,65.0
4_16,1_12~CUW~3_4#MUR,25.0
4_17,3_9~CUW~3_19#MGNP,65.0
4_18,3_4~CUW~3_19#MUR,38.0
4_19,3_19~CUW~3_3#MGNF,32.0
4_20,3_9~CUW~1_12,35.0
4_21,3_3~CUW~3_19,65.0
4_22,3_9~CUW~3_3,57.0
4_23,3_19~CUW~1_12#MGNF,63.0
4_24,3_4~CUW~3_19#MUR,41.0
4_25,3_4~CUW~3_19#MGNP,51.0
