cid,identity,score
1_12,(none),65.0
3_2,2_16~CUW~2_2#MGNP,50.0
3_3,1_12~CUW~2_20#MGNF,65.0
3_4,1_12~CUW~2_16#MUR,65.0
3_5,2_6~CUW~2_20#MGNF,52.0
3_6,2_6~CUW~2_20#MGNF,40.0
3_7,1_12~CUW~2_20#MGNF,45.0
3_8,2_6~CUW~1_12,50.0
3_9,2_16~CUW~1_12#MGNP,65.0
3_10,2_20~CUW~1_12#MGNF,27.0
3_11,2_2~CUW~2_6,58.0
3_12,2_20~CUW~1_12#MGNF,30.0
3_13,2_20~CUW~1_12#MGNP,25.0
3_14,2_2~CUW~2_20#MGNF,44.0
3_15,2_16~CUW~2_2#MUR,44.0
3_16,2_2~CUW~2_16#MGNP,63.0
3_17,2_2~CUW~1_12#MGNP,25.0
3_18,2_16~CUW~2_6#MGNP,53.0
3_19,2_16~CUW~2_2,65.0
3_20,2_16~CUW~2_6,65.0
3_21,2_2~CUW~1_12#MGNP,35.0
3_22,2_16~CUW~1_12#MUR,55.0
3_23,2_2~CUW~1_12#MGNF,53.0
3_24,2_6~CUW~1_12#MGNF,63.0
3_25,2_2~CUW~1_12#MGNF,65.0
