cid,identity,score
2_13,1_24~CUW~1_5#MUR,69.0
4_2,3_7~CUW~2_13#MGNF,65.0
4_3,3_4~CUW~2_13#MUR,34.0
4_4,3_4~CUW~3_2#MGNF,58.0
4_5,3_2~CUW~3_6#MGNP,53.0
4_6,3_2~CUW~3_4#MUR,56.0
4_7,3_4~CUW~3_2#MGNF,64.0
4_8,3_4~CUW~2_13,50.0
4_9,3_6~CUW~3_4#MGNF,65.0
4_10,3_6~CUW~3_7#MGNF,43.0
4_11,3_7~CUW~3_4#MUR,64.0
4_12,3_6~CUW~3_7#MGNP,26.0
4_13,3_4~CUW~2_13#MGNP,65.0
4_14,2_13~CUW~3_6,28.0
4_15,2_13~CUW~3_7#MUR,43.0
4_16,3_7~CUW~3_6#MGNP,50.0
4_17,3_2~CUW~3_7#MGNP,53.0
4_18,2_13~CUW~3_7#MUR,35.0
4_19,3_6~CUW~3_4#MUR,37.0
4_20,3_2~CUW~3_4#MGNF,65.0
4_21,2_13~CUW~3_6,47.0
4_22,3_6~CUW~3_4#MGNF,65.0
4_23,3_4~CUW~3_7#MGNF,58.0
4_24,2_13~CUW~3_7#MUR,65.0
4_25,3_6~CUW~3_2#MGNP,64.0
