cid,identity,score
2_13,1_24~CUW~1_5#MUR,69.0
5_2,4_20~CUW~4_2#MUR,32.0
5_3,4_2~CUW~2_13,65.0
5_4,4_2~CUW~2_13,65.0
5_5,4_9~CUW~4_2#MUR,43.0
5_6,4_2~CUW~4_9#MUR,33.0
5_7,2_13~CUW~4_13#MGNP,65.0
5_8,4_13~CUW~4_2#MGNF,65.0
5_9,2_13~CUW~4_20#MGNF,62.0
5_10,2_13~CUW~4_13#MGNF,64.0
5_11,4_2~CUW~4_13#MGNP,65.0
5_12,4_13~CUW~4_2,64.0
5_13,2_13~CUW~4_2#MUR,53.0
5_14,4_13~CUW~2_13#MGNP,65.0
5_15,4_2~CUW~4_20#MGNP,50.0
5_16,4_20~CUW~4_9#MUR,56.0
5_17,2_13~CUW~4_13,65.0
5_18,4_20~CUW~4_2#MGNF,61.0
5_19,4_9~CUW~4_2#MGNF,65.0
5_20,4_9~CUW~4_2,66.0
5_21,4_9~CUW~4_13,65.0
5_22,4_9~CUW~4_13#MGNF,62.0
5_23,4_9~CUW~2_13#MUR,40.0
5_24,4_13~CUW~4_20,54.0
5_25,4_20~CUW~2_13#MGNF,53.0
