cid,identity,score
2_13,1_24~CUW~1_5#MUR,69.0
3_2,2_10~CUW~1_5#MUR,65.0
3_3,2_6~CUW~1_5#MUR,63.0
3_4,2_6~CUW~1_5#MGNF,65.0
3_5,2_6~CUW~1_5#MUR,61.0
3_6,2_6~CUW~1_5#MGNF,65.0
3_7,2_14~CUW~1_5,65.0
3_8,1_5~CUW~2_13#MUR,59.0
3_9,2_6~CUW~2_10,65.0
3_10,2_14~CUW~2_6,65.0
3_11,2_13~CUW~2_14#MUR,30.0
3_12,2_13~CUW~2_14#MGNP,36.0
3_13,2_13~CUW~1_5#MGNF,38.0
3_14,2_13~CUW~2_14,38.0
3_15,2_14~CUW~2_13#MGNP,65.0
3_16,2_6~CUW~1_5#MUR,62.0
3_17,2_13~CUW~2_10#MGNF,51.0
3_18,2_13~CUW~2_6,65.0
3_19,1_5~CUW~2_6#MGNF,65.0
3_20,2_10~CUW~1_5#MGNF,62.0
3_21,2_10~CUW~2_6,50.0
3_22,2_14~CUW~2_13#MGNP,65.0
3_23,1_5~CUW~2_10#MGNP,65.0
3_24,2_10~CUW~2_6#MGNF,65.0
3_25,2_14~CUW~2_6#MGNP,50.0
