cid,identity,score
1_5,(none),65.0
2_2,1_22~CUW~1_24#MGNP,50.0
2_3,1_5~CUW~1_11#MGNF,64.0
2_4,1_22~CUW~1_5,35.0
2_5,1_22~CUW~1_24#MGNF,58.0
2_6,1_11~CUW~1_18#MGNP,65.0
2_7,1_24~CUW~1_22#MUR,32.0
2_8,1_22~CUW~1_18#MGNF,57.0
2_9,1_5~CUW~1_18#MGNF,33.0
2_10,1_11~CUW~1_5,65.0
2_11,1_22~CUW~1_18#MGNF,50.0
2_12,1_18~CUW~1_11,57.0
2_13,1_24~CUW~1_5#MUR,69.0
2_14,1_5~CUW~1_24#MGNP,65.0
2_15,1_18~CUW~1_24#MGNP,65.0
2_16,1_24~CUW~1_18,52.0
2_17,1_11~CUW~1_24#MGNF,62.0
2_18,1_18~CUW~1_22#MUR,53.0
2_19,1_11~CUW~1_5#MGNF,65.0
2_20,1_22~CUW~1_18,62.0
2_21,1_22~CUW~1_18#MGNF,53.0
2_22,1_11~CUW~1_18#MGNF,54.0
2_23,1_18~CUW~1_11,65.0
2_24,1_24~CUW~1_11#MGNF,56.0
2_25,1_22~CUW~1_5#MUR,49.0
